41,SPRING 2018,ARTM,Yes,3
42,SPRING 2018,ARTM,Yes,3
43,SPRING 2018,ARTM,Yes,3
44,SPRING 2018,ARTM,Yes,3
45,SPRING 2018,ARTM,Yes,3
46,SPRING 2018,ARTM,Yes,3
47,SPRING 2018,ARTM,Yes,3
48,SPRING 2018,ARTM,Yes,3
49,SPRING 2018,ARTM,Yes,3
50,SPRING 2019,ARTM,Yes,3
51,SPRING 2019,ARTM,Yes,3
52,SPRING 2019,ARTM,Yes,3
53,SPRING 2019,ARTM,Yes,3
54,SPRING 2019,ASTR,Yes,3
55,SPRING 2019,ASTR,Yes,3
56,SPRING 2019,ASTR,Yes,3
57,SPRING 2019,ASTR,Yes,3
58,SPRING 2019,ASTR,Yes,3
59,SPRING 2019,ASTR,Yes,3
60,SPRING 2019,ASTR,Yes,3
61,SPRING 2019,ASTR,Yes,3
62,SPRING 2019,ASTR,Yes,3
63,SPRING 2019,ASTR,Yes,3
64,SPRING 2019,ASTR,Yes,3
65,SPRING 2019,ASTR,Yes,3
66,SPRING 2019,ASTR,Yes,3
67,SPRING 2019,ASTR,Yes,3
68,SPRING 2019,ASTR,Yes,3
69,SPRING 2019,ASTR,Yes,3
70,SPRING 2020,ASTR,Yes,3
71,SPRING 2025,CHRM,Yes,3
72,SPRING 2025,CHRM,Yes,3
73,SPRING 2025,CHRM,Yes,3
74,SPRING 2025,CHRM,Yes,3
75,SPRING 2025,CHRM,Yes,3
76,SPRING 2025,CHRM,Yes,3
77,SPRING 2025,CHRM,Yes,3
78,SPRING 2025,CHRM,Yes,3
79,SPRING 2025,CHRM,Yes,3
80,SPRING 2025,CHRM,Yes,3
81,SPRING 2025,CHRM,Yes,3
82,SPRING 2025,CHRM,Yes,3
83,SPRING 2025,CHRM,Yes,3
84,SPRING 2025,CHRM,Yes,3
85,SPRING 2025,CHRM,Yes,3
86,SPRING 2025,CMAC,Yes,3
87,SPRING 2025,CMAC,Yes,3
88,SPRING 2025,CMAC,Yes,3
89,SPRING 2025,CMAC,Yes,3
90,SPRING 2025,CMAC,Yes,3
